STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2015,,81197537,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2016,,82175684,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2017,,82521653,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2018,,82792351,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2019,,83019213,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2020,,83166711,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2021,,83155031,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2022,,83237124,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2023,,83118501,,b,break in time series,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,DE,Germany,2024,,83456045,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2015,,46425722,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2016,,46418884,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2017,,46497393,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2018,,46645070,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2019,,46918951,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2020,,47318050,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2021,,47400798,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2022,,47486843,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2023,,48085361,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,ES,Spain,2024,,48619695,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2015,,66458153,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2016,,66638391,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2017,,66809816,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2018,,67026224,,p,provisional,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2019,,67290471,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2020,,67473651,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2021,,67728568,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2022,,68091703,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2023,,68277210,,p,provisional,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,FR,France,2024,,68669303,,p,provisional,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2015,,60295497,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2016,,60163712,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2017,,60066734,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2018,,59937769,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2019,,59816673,,b,break in time series,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2020,,59641488,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2021,,59236213,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2022,,59030133,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2023,,58997201,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,IT,Italy,2024,,58971230,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2015,,16900726,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2016,,16979120,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2017,,17081507,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2018,,17181084,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2019,,17282163,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2020,,17407585,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2021,,17475415,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2022,,17590672,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2023,,17811291,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,NL,Netherlands,2024,,17942942,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2015,,38005614,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2016,,37967209,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2017,,37972964,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2018,,37976687,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2019,,37972812,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2020,,37958138,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2021,,37073357,,bep,"break in time series, estimated, provisional",,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2022,,36889761,,ep,"estimated, provisional",,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2023,,36753736,,ep,"estimated, provisional",,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,PL,Poland,2024,,36620970,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2015,,77695904,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2016,,78741053,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2017,,79814871,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2018,,80810525,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2019,,82003882,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2020,,83154997,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2021,,83614362,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2022,,84680273,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2023,,85279553,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,TR,Türkiye,2024,,85372377,,,,,
dataflow,ESTAT:DEMO_PJAN(1.0),Population on 1 January by age and sex,A,Annual,NR,Number,TOTAL,Total,T,Total,UK,United Kingdom,2015,,64853393,,,,,
